ID,Original Text,Analysis
LY0101,子曰 學而時習之 不亦說乎 有朋自遠方來 不亦樂乎 人不知而不? 不亦君子乎,子(n) 曰(v) 學(n) 而(c) 時(v) 習(v) 之(u) 不(n) 亦(d) 說(v) 乎(u) 有(v) 朋(n) 自(r) 遠(v) 方(n) 來(v) 不(n) 亦(d) 樂(v) 乎(u) 人(n) 不(d) 知(v) 而(c) 不(v) ?(wp) 不(n) 亦(d) 君子(n) 乎(u)
LY0102,有子曰 其爲人也孝弟 而好犯上者 鮮矣 不好犯上 而好作亂者 未之有也 君子務本 本立而道生 孝弟也者 其爲仁之本與,有(v) 子(n) 曰(v) 其(r) 爲(v) 人(n) 也(d) 孝弟(i) 而(c) 好(a) 犯上(v) 者(k) 鮮(v) 矣(u) 不(v) 好(a) 犯上(v) 而(c) 好(a) 作(v) 亂(n) 者(k) 未(d) 之(r) 有(v) 也(d) 君子(n) 務(v) 本(r) 本(d) 立(v) 而(c) 道(n) 生(v) 孝弟(n) 也(d) 者(k) 其(r) 爲(v) 仁(n) 之(u) 本(n) 與(n)
LY0103,子曰 巧言令色 鮮矣仁,子(n) 曰(v) 巧言令色(n) 鮮(n) 矣(u) 仁(nh)
LY0104,曾子曰 吾日三省吾身 爲人謀而不忠乎 與朋友交而不信乎 傳不習乎,曾子(nh) 曰(v) 吾(r) 日(q) 三省(ns) 吾身(n) 爲(v) 人(n) 謀(v) 而(c) 不(v) 忠(v) 乎(u) 與(a) 朋友(n) 交(v) 而(c) 不(v) 信(n) 乎(u) 傳(v) 不(v) 習(v) 乎(u)
LY0105,子曰 道千乘之國 敬事而信 節用而愛人 使民以時,子(n) 曰(v) 道(n) 千乘(i) 之(u) 國(n) 敬事(n) 而(c) 信(n) 節(v) 用(v) 而(c) 愛(v) 人(n) 使(v) 民(n) 以(p) 時(n)
LY0106,子曰 弟子入則孝 出則悌 謹而信 汎愛衆而親仁 行有餘力 則以學文,子(nh) 曰(v) 弟子(n) 入(v) 則(n) 孝(n) 出(v) 則(n) 悌(v) 謹(n) 而(c) 信(n) 汎(v) 愛(v) 衆(n) 而(c) 親(v) 仁(n) 行(n) 有(v) 餘(n) 力(n) 則(v) 以(p) 學(v) 文(n)
LY0107,子夏曰 賢賢易色 事父母 能竭其力 事君 能致其身 與朋友交 言而有信 雖曰未學 吾必謂之學矣,子(n) 夏(nt) 曰(v) 賢(v) 賢(n) 易(a) 色(n) 事(n) 父母(n) 能(v) 竭(v) 其(r) 力(n) 事君(n) 能(v) 致(v) 其(r) 身(n) 與(v) 朋友(n) 交(v) 言(n) 而(c) 有(v) 信(n) 雖(n) 曰(v) 未(d) 學(v) 吾(r) 必(d) 謂(v) 之(u) 學(n) 矣(u)
LY0108,子曰 君子不重 則不威 學則不固 主忠信 無友不如己者 過則勿憚改,子(n) 曰(v) 君子(n) 不(n) 重(d) 則(v) 不(v) 威(n) 學(n) 則(v) 不(n) 固(v) 主(n) 忠信(n) 無(n) 友(n) 不(n) 如(v) 己(r) 者(r) 過(v) 則(n) 勿(d) 憚(v) 改(v)
LY0109,曾子曰 愼終追遠 民德歸厚矣,曾子(nh) 曰(v) 愼(v) 終(n) 追(v) 遠(v) 民(n) 德(n) 歸(v) 厚(a) 矣(u)
LY0110,子禽問於子貢曰 夫子至於是邦也 必聞其政 求之與 抑與之與 子貢曰 夫子溫良恭儉讓以得之 夫子之求之也 其諸異乎人之求之與,子(n) 禽(n) 問(v) 於(n) 子貢(v) 曰(v) 夫子(n) 至(p) 於(ns) 是(v) 邦(n) 也(d) 必(d) 聞(v) 其(r) 政(n) 求(v) 之(u) 與(n) 抑(v) 與(n) 之(u) 與(n) 子貢(n) 曰(v) 夫子(n) 溫(n) 良(a) 恭(a) 儉(v) 讓(n) 以(p) 得(v) 之(u) 夫子(n) 之(u) 求(v) 之(r) 也(d) 其(r) 諸(v) 異(v) 乎(u) 人(n) 之(u) 求(v) 之(u) 與(n)
