text_unit_id,1st_element
論語集註大全-學而,"<heading id=""論語-學而"">論語集註大全 / 學而</heading>"
論語集註大全-學而-01-01,"<canon id=""論語-學而-01-01"">○子曰：「學而時習之，不亦說乎？</canon>"
論語集註大全-學而-01-02,"<canon id=""論語-學而-01-02"">有朋自遠方來，不亦樂乎？</canon>"
論語集註大全-學而-01-03,"<canon id=""論語-學而-01-03"">人不知而不慍，不亦君子乎？」</canon>"
論語集註大全-學而-02-01,"<canon id=""論語-學而-02-01"">○有子曰：「其爲人也孝弟，而好犯上者，鮮矣；不好犯上，而好作亂者，未之有也。</canon>"
論語集註大全-學而-02-02,"<canon id=""論語-學而-02-02"">君子務本，本立而道生。孝弟也者，其爲仁之本與！」</canon>"
論語集註大全-學而-03-01,"<canon id=""論語-學而-03-01"">○子曰：「巧言令色，鮮矣仁！」</canon>"
論語集註大全-學而-04-01,"<canon id=""論語-學而-04-01"">○曾子曰：「吾日三省吾身：爲人謀而不忠乎？與朋友交而不信乎？傳不習乎？」</canon>"
論語集註大全-學而-05-01,"<canon id=""論語-學而-05-01"">○子曰：「道千乘之國，敬事而信，節用而愛人，使民以時。」</canon>"
論語集註大全-學而-06-01,"<canon id=""論語-學而-06-01"">○子曰：「弟子入則孝，出則弟，謹而信，汎愛衆，而親仁。行有餘力，則以學文。」</canon>"
論語集註大全-學而-07-01,"<canon id=""論語-學而-07-01"">○子夏曰：「賢賢易色，事父母能竭其力，事君能致其身，與朋友交，言而有信。雖曰未學，吾必謂之學矣。」</canon>"
論語集註大全-學而-08-01,"<canon id=""論語-學而-08-01"">○子曰：「君子不重則不威，學則不固。</canon>"
論語集註大全-學而-08-02,"<canon id=""論語-學而-08-02"">主忠信。</canon>"
論語集註大全-學而-08-03,"<canon id=""論語-學而-08-03"">無友不如己者。</canon>"
論語集註大全-學而-08-04,"<canon id=""論語-學而-08-04"">過則勿憚改。」</canon>"
論語集註大全-學而-09-01,"<canon id=""論語-學而-09-01"">○曾子曰：「愼終追遠，民德歸厚矣。」</canon>"
論語集註大全-學而-10-01,"<canon id=""論語-學而-10-01"">○子禽問於子貢曰：「夫子至於是邦也，必聞其政，求之與？抑與之與？」</canon>"
論語集註大全-學而-10-02,"<canon id=""論語-學而-10-02"">子貢曰：「夫子溫良恭儉讓以得之。夫子之求之也，其諸異乎人之求之與？」</canon>"
